symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain
FZFXX,FIDELITY TREASURY MONEY MARKET FUND,12.930,1.000,,12.930,,
FDRXX,FIDELITY GOVERNMENT CASH RESERVES,42671.660,1.000,29024.600,42671.660,,
ONEQ,FIDELITY NASDAQ COMPOSITE INDEX ETF,45.361,93.420,4043.020,4237.620,3999.960,237.660
FESM,FIDELITY ENHANCED SMALL CAP ETF,16.511,37.180,603.640,613.870,599.970,13.900
FMDE,FIDELITY ENHANCED MID CAP ETF,27.797,35.730,1004.860,993.180,999.970,-6.790
FELC,FIDELITY ENHANCED LARGE CAP CORE ETF,270.052,38.010,10064.830,10264.670,10000.000,264.670
FDEV,FIDELITY INTL MULTIFACTOR,73.058,32.930,2421.870,2405.790,2400.010,5.780
FDEM,FIDELITY EMERG MKTS MLTFT,67.118,30.770,2018.900,2065.220,1999.990,65.230
XYLD,GLOBAL X FDS S&P 500 COVERED,97.154,39.830,3814.260,3869.640,3975.970,-106.330
QYLD,GLOBAL X FDS NASDAQ 100 COVER,224.681,17.430,3821.820,3916.180,4108.190,-192.010
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,38.400,418.850,409.950,399.980,9.970
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,37.108,56.880,2118.860,2110.700,2160.480,-49.780
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,202.789,52.810,10605.860,10709.280,10507.730,201.550
TLTW,ISHARES TR 20+ YEAR TR BD,36.372,23.800,850.370,865.650,851.360,14.290
CWCO,CONSOLIDATED WATER CO LTD,19.186,34.010,676.880,652.510,499.990,152.520
ALCO,ALICO INC,7.630,35.210,264.450,268.650,199.980,68.670
AWK,AMERICAN WATER WORKS COMPANY INC COM,4.239,128.430,590.020,544.410,599.960,-55.550
APO,APOLLO GLOBAL MGMT INC COM,5.860,124.310,780.960,728.450,879.920,-151.470
BRKB,BERKSHIRE HATHAWAY INC COM CLASS B,10.928,477.540,5493.940,5218.550,5499.910,-281.360
BX,BLACKSTONE INC,14.422,146.640,2463.990,2114.840,2309.850,-195.010
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,44.380,299.340,289.490,349.980,-60.490
ECL,ECOLAB INC,1.920,256.400,525.810,492.280,499.910,-7.630
FERG,FERGUSON ENTERPRISES INC COM,1.465,248.500,329.000,364.050,299.960,64.090
GWRS,GLOBAL WTR RES INC COM,7.556,9.920,77.820,74.950,99.990,-25.040
KKR,KKR &CO INC COM,8.149,118.330,1058.960,964.270,1099.950,-135.680
L,LOEWS CORP COM,6.422,99.560,644.700,639.370,550.000,89.370
TPG,TPG INC COM CL A,11.880,55.040,682.500,653.870,659.970,-6.100
WAT,WATERS CORP,0.713,349.600,213.760,249.260,249.660,-0.400
XYL,XYLEM INC COM,3.354,150.850,494.710,505.950,449.980,55.970
FPI,FARMLAND PARTNERS INC COM,54.544,10.030,593.430,547.070,599.990,-52.920
LAND,GLADSTONE LD CORP COM,55.708,9.060,510.280,504.710,742.190,-237.480
