symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain
SPAXX,FIDELITY GOVERNMENT MONEY MARKET,19.510,1.000,5.890,19.510,,
FDRXX,FIDELITY GOVERNMENT CASH RESERVES,29024.600,1.000,8780.840,29024.600,,
ONEQ,FIDELITY NASDAQ COMPOSITE INDEX ETF,45.361,89.130,,4043.020,3999.960,43.060
FESM,FIDELITY ENHANCED SMALL CAP ETF,16.511,36.560,,603.640,599.970,3.670
FMDE,FIDELITY ENHANCED MID CAP ETF,27.797,36.150,,1004.860,999.970,4.890
FELC,FIDELITY ENHANCED LARGE CAP CORE ETF,270.052,37.270,,10064.830,10000.000,64.830
FDEV,FIDELITY INTL MULTIFACTOR,73.058,33.150,,2421.870,2400.010,21.860
FDEM,FIDELITY EMERG MKTS MLTFT,67.118,30.080,,2018.900,1999.990,18.910
XYLD,GLOBAL X FDS S&P 500 COVERED,97.154,39.260,2568.900,3814.260,3975.970,-161.710
QYLD,GLOBAL X FDS NASDAQ 100 COVER,224.681,17.010,3379.010,3821.820,4108.190,-286.370
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,39.233,430.880,418.850,399.980,18.870
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,37.108,57.100,1532.640,2118.860,2160.480,-41.620
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,202.789,52.300,8359.050,10605.860,10507.730,98.130
TLTW,ISHARES TR 20+ YEAR TR BD,36.372,23.380,756.120,850.370,851.360,-0.990
CWCO,CONSOLIDATED WATER CO LTD,19.186,35.280,638.310,676.880,499.990,176.890
ALCO,ALICO INC,7.630,34.660,258.190,264.450,199.980,64.470
AWK,AMERICAN WATER WORKS COMPANY INC COM USD0.01,4.239,139.190,608.330,590.020,599.960,-9.940
APO,APOLLO GLOBAL MGMT INC COM,5.860,133.270,798.300,780.960,879.920,-98.960
BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,10.928,502.740,5496.560,5493.940,5499.910,-5.970
BX,BLACKSTONE INC,14.422,170.850,2471.930,2463.990,2309.850,154.140
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,45.890,306.120,299.340,349.980,-50.640
ECL,ECOLAB INC,1.920,273.860,531.910,525.810,499.910,25.900
FERG,FERGUSON ENTERPRISES INC COM,1.465,224.580,338.630,329.000,299.960,29.040
GWRS,GLOBAL WTR RES INC COM,7.556,10.300,72.990,77.820,99.990,-22.170
KKR,KKR &CO INC COM,8.149,129.950,1136.700,1058.960,1099.950,-40.990
L,LOEWS CORP COM USD0.01,6.422,100.390,621.640,644.700,550.000,94.700
TPG,TPG INC COM CL A,11.880,57.450,716.950,682.500,659.970,22.530
WAT,WATERS CORP,0.713,299.810,215.180,213.760,249.660,-35.900
XYL,XYLEM INC COM USD0.01,3.354,147.500,474.790,494.710,449.980,44.730
FPI,FARMLAND PARTNERS INC COM,54.544,10.880,601.070,593.430,599.990,-6.560
LAND,GLADSTONE LD CORP COM,55.708,9.160,512.510,510.280,742.190,-231.910
