symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain
FDRXX,FIDELITY GOVERNMENT CASH RESERVES,36044.010,1.000,42671.660,36044.010,,
ONEQ,FIDELITY NASDAQ COMPOSITE INDEX ETF,45.361,91.920,4237.620,4169.580,3999.960,169.620
FESM,FIDELITY ENHANCED SMALL CAP ETF,16.511,37.920,613.870,626.090,599.970,26.120
FMDE,FIDELITY ENHANCED MID CAP ETF,27.797,36.410,993.180,1012.080,999.970,12.110
FELC,FIDELITY ENHANCED LARGE CAP CORE ETF,270.052,38.080,10264.670,10283.580,10000.000,283.580
FDEV,FIDELITY INTL MULTIFACTOR,73.058,34.000,2405.790,2483.970,2400.010,83.960
FDEM,FIDELITY EMERG MKTS MLTFT,67.118,30.520,2065.220,2048.440,1999.990,48.450
XYLD,GLOBAL X FDS S&P 500 COVERED,97.154,40.310,3869.640,3916.270,3975.970,-59.700
QYLD,GLOBAL X FDS NASDAQ 100 COVER,224.681,17.470,3916.180,3925.170,4108.190,-183.020
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,39.050,409.950,416.890,399.980,16.910
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,37.108,57.910,2110.700,2148.920,2160.480,-11.560
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,202.789,52.670,10709.280,10680.890,10507.730,173.160
TLTW,ISHARES TR 20+ YEAR TR BD,36.372,23.520,865.650,855.460,851.360,4.100
CWCO,CONSOLIDATED WATER CO LTD,19.186,34.230,652.510,656.730,499.990,156.740
ALCO,ALICO INC,7.630,34.795,268.650,265.480,199.980,65.500
AWK,AMERICAN WATER WORKS COMPANY INC COM USD0.01,4.239,130.070,544.410,551.360,599.960,-48.600
APO,APOLLO GLOBAL MGMT INC COM,7.668,131.850,728.450,1011.020,1117.130,-106.110
BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,12.431,513.810,5218.550,6387.170,6267.820,119.350
BX,BLACKSTONE INC,17.351,146.420,2114.840,2540.530,2736.960,-196.430
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,45.370,289.490,295.940,349.980,-54.040
ECL,ECOLAB INC,1.920,275.160,492.280,528.300,499.910,28.390
FERG,FERGUSON ENTERPRISES INC COM,1.465,251.670,364.050,368.690,299.960,68.730
GWRS,GLOBAL WTR RES INC COM,7.556,8.570,74.950,64.750,99.990,-35.240
KKR,KKR &CO INC COM,8.389,122.310,964.270,1026.050,1129.250,-103.200
L,LOEWS CORP COM USD0.01,11.366,107.870,639.370,1226.050,1087.730,138.320
TPG,TPG INC COM CL A,11.880,59.080,653.870,701.870,659.970,41.900
WAT,WATERS CORP,0.713,403.420,249.260,287.630,249.660,37.970
XYL,XYLEM INC COM USD0.01,3.354,140.670,505.950,471.800,449.980,21.820
FPI,FARMLAND PARTNERS INC COM,54.544,9.840,547.070,536.710,599.990,-63.280
LAND,GLADSTONE LD CORP COM,55.708,9.310,504.710,518.640,742.190,-223.550
