symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain
FDRXX,FIDELITY GOVERNMENT CASH RESERVES,13347.310,1.000,36044.010,13347.310,,
ONEQ,FIDELITY NASDAQ COMPOSITE INDEX ETF,88.066,91.400,4169.580,8049.230,7948.350,100.880
FESM,FIDELITY ENHANCED SMALL CAP ETF,31.755,37.780,626.090,1199.700,1186.560,13.140
FMDE,FIDELITY ENHANCED MID CAP ETF,55.730,36.380,1012.080,2027.450,2020.360,7.090
FELC,FIDELITY ENHANCED LARGE CAP CORE ETF,532.691,38.170,10283.580,20332.810,20039.380,293.430
FDEV,FIDELITY INTL MULTIFACTOR,143.234,34.610,2483.970,4957.320,4793.790,163.530
FDEM,FIDELITY EMERG MKTS MLTFT,132.508,30.880,2048.440,4091.840,4011.360,80.480
XYLD,GLOBAL X FDS S&P 500 COVERED,97.154,40.630,3916.270,3947.360,3975.970,-28.610
QYLD,GLOBAL X FDS NASDAQ 100 COVER,224.681,17.670,3925.170,3970.110,4108.190,-138.080
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,38.570,416.890,411.770,399.980,11.790
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,37.108,57.240,2148.920,2124.060,2160.480,-36.420
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,202.789,52.530,10680.890,10652.500,10507.730,144.770
TLTW,ISHARES TR 20+ YEAR TR BD,36.372,22.670,855.460,824.550,851.360,-26.810
CWCO,CONSOLIDATED WATER CO LTD,19.186,35.290,656.730,677.070,499.990,177.080
ALCO,ALICO INC,7.630,36.380,265.480,277.570,199.980,77.590
AWK,AMERICAN WATER WORKS COMPANY INC COM USD0.01,4.239,130.500,551.360,553.180,599.960,-46.780
APO,APOLLO GLOBAL MGMT INC COM,7.668,144.760,1011.020,1110.010,1117.130,-7.120
BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,12.431,502.650,6387.170,6248.440,6267.820,-19.380
BX,BLACKSTONE INC,17.351,154.140,2540.530,2674.480,2736.960,-62.480
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,43.330,295.940,282.640,349.980,-67.340
ECL,ECOLAB INC,1.920,262.520,528.300,504.030,499.910,4.120
FERG,FERGUSON ENTERPRISES INC COM,1.465,222.630,368.690,326.150,299.960,26.190
GWRS,GLOBAL WTR RES INC COM,7.556,8.450,64.750,63.840,99.990,-36.150
KKR,KKR &CO INC COM,8.389,127.480,1026.050,1069.420,1129.250,-59.830
L,LOEWS CORP COM USD0.01,11.366,105.310,1226.050,1196.950,1087.730,109.220
TPG,TPG INC COM CL A,11.880,63.840,701.870,758.410,659.970,98.440
WAT,WATERS CORP,0.713,379.830,287.630,270.810,249.660,21.150
XYL,XYLEM INC COM USD0.01,3.354,136.180,471.800,456.740,449.980,6.760
FPI,FARMLAND PARTNERS INC COM,54.544,9.690,536.710,528.530,599.990,-71.460
LAND,GLADSTONE LD CORP COM,55.708,9.150,518.640,509.720,742.190,-232.470
